,Date,County,Rt,Rt_LCI,Rt_UCI
1965,2022-10-05,Stanislaus,1.065520597043205,0.9187087889682646,1.2282757801341222
1966,2022-10-06,Stanislaus,1.064777874981067,0.9183029176745492,1.2262860019363746
1967,2022-10-07,Stanislaus,1.0626391621874847,0.9160448790528446,1.2217435183676881
1968,2022-10-08,Stanislaus,1.0586030543007432,0.9145020664805518,1.2181993475312676
1969,2022-10-09,Stanislaus,1.0527237104923977,0.9109515831197228,1.210081747526608
1970,2022-10-10,Stanislaus,1.0486092255887152,0.9069192091998903,1.2044787613605616
1971,2022-10-11,Stanislaus,1.046650862167695,0.9069705965867848,1.1997551491288498
1972,2022-10-12,Stanislaus,1.045864604989303,0.9047714154708553,1.2003869733751862
1973,2022-10-13,Stanislaus,1.0481877576353726,0.9075878549502484,1.2035034543144918
1974,2022-10-14,Stanislaus,1.0564661245988742,0.9152142731321721,1.209176173414304
1975,2022-10-15,Stanislaus,1.062264016749627,0.922573353095727,1.2141771604586284
1976,2022-10-16,Stanislaus,1.0706220170963907,0.9314701464488244,1.222904219431896
1977,2022-10-17,Stanislaus,1.0792671023459293,0.9414319457404592,1.2307548650552418
1978,2022-10-18,Stanislaus,1.0928405629754177,0.9528744054057425,1.245237350092575
1979,2022-10-19,Stanislaus,1.1102779795972055,0.9702473040080242,1.2611183982597698
1980,2022-10-20,Stanislaus,1.121516434472434,0.9841189434438449,1.2704282048858193
1981,2022-10-21,Stanislaus,1.1371240964829856,0.9996041798259143,1.2875154706874392
1982,2022-10-22,Stanislaus,1.1567931792253674,1.0184219383366675,1.3064602198618105
1983,2022-10-23,Stanislaus,1.1696266923101235,1.032996133354784,1.3184418666100148
1984,2022-10-24,Stanislaus,1.1810610681954263,1.0455226056632858,1.326620995606857
1985,2022-10-25,Stanislaus,1.1898137306322747,1.057241292379522,1.3335456524177502
1986,2022-10-26,Stanislaus,1.191546579832311,1.061285556550825,1.3320270663578675
1987,2022-10-27,Stanislaus,1.1911264960610275,1.0626230367541951,1.3281599741798713
1988,2022-10-28,Stanislaus,1.1874142645067225,1.0622083908284923,1.322170547774927
1989,2022-10-29,Stanislaus,1.1808054208679521,1.0577101409780973,1.311525911921632
1990,2022-10-30,Stanislaus,1.170237159188518,1.052761648854871,1.2966872415508153
1991,2022-10-31,Stanislaus,1.1624205254171287,1.045517824491589,1.2874851341895681
1992,2022-11-01,Stanislaus,1.1514261732101274,1.0386672181030991,1.2743629610001235
1993,2022-11-02,Stanislaus,1.1435818761975693,1.0323378770487286,1.2628393771151465
1994,2022-11-03,Stanislaus,1.131108399934913,1.0225243268143989,1.2465810633376184
1995,2022-11-04,Stanislaus,1.1214816309096325,1.0148359488970762,1.2356027824962108
1996,2022-11-05,Stanislaus,1.1147489792432084,1.0101127548230657,1.226417113927552
1997,2022-11-06,Stanislaus,1.1101108200174625,1.0078896039774452,1.2198785211652639
1998,2022-11-07,Stanislaus,1.1087992031907985,1.0061743197520698,1.218012826905105
1999,2022-11-08,Stanislaus,1.1089237527129825,1.0070849633594494,1.2157836439280458
2000,2022-11-09,Stanislaus,1.1114763466800233,1.011518829445416,1.2182382428636447
2001,2022-11-10,Stanislaus,1.119067027404745,1.0201042079651546,1.2237669815416004
2002,2022-11-11,Stanislaus,1.1243016637593792,1.027740917150786,1.2283082844140616
2003,2022-11-12,Stanislaus,1.1305835538714168,1.0339830649599973,1.233300613099173
2004,2022-11-13,Stanislaus,1.1374090030765283,1.0416343938748827,1.2392873165314282
2005,2022-11-14,Stanislaus,1.1429601794857431,1.0481129486798404,1.2425846579953745
2006,2022-11-15,Stanislaus,1.1520226883999523,1.058428183842212,1.250129068602957
2007,2022-11-16,Stanislaus,1.1557661372013808,1.0638188414393022,1.2536433853520212
2008,2022-11-17,Stanislaus,1.15810035422224,1.0681604773057298,1.252960289975193
2009,2022-11-18,Stanislaus,1.1580314593796328,1.068654824361245,1.2518934554553698
2010,2022-11-19,Stanislaus,1.155156532724658,1.06753135329026,1.2469688329578497
2011,2022-11-20,Stanislaus,1.1458117531190721,1.0604787790958974,1.2360721663422871
2012,2022-11-21,Stanislaus,1.1342754233716348,1.0500655629993667,1.2223924552062126
2013,2022-11-22,Stanislaus,1.1166195417825766,1.0345834801884477,1.2029099133290546
2014,2022-11-23,Stanislaus,1.0964081120184435,1.0165032831684582,1.180494693788292
2015,2022-11-24,Stanislaus,1.0759405439384229,0.9982231767230758,1.1576126718596031
2016,2022-11-25,Stanislaus,1.0562388581061497,0.9800056900878619,1.1360981337103175
2017,2022-11-26,Stanislaus,1.0368308648847835,0.9623998933179065,1.1154040941789973
2018,2022-11-27,Stanislaus,1.0215339045033842,0.9478367029519905,1.0990840399013349
2019,2022-11-28,Stanislaus,1.0093414610281284,0.9366719408405771,1.086249037118903
2020,2022-11-29,Stanislaus,1.000173464943299,0.927842227425667,1.0756631468050204
2021,2022-11-30,Stanislaus,0.994100902693029,0.9217415234777526,1.0698116555972392
