City,County_FIPS,PMMoV_gc_g_dry_weight,Population_Served,SC2_N_gc_g_dry_weight,SC2_N_norm_PMMoV,Site_Name,Zipcode,date,County
Carson,06037,972962765.8745036,3500000.0,3984.2961553090295,4.095014007784691e-06,Joint Water Pollution Control Plant,90745.0,2022-04-03,Los Angeles
Carson,06037,710893663.1944438,3500000.0,6361.158865469487,8.94811586431258e-06,Joint Water Pollution Control Plant,90745.0,2022-04-04,Los Angeles
Carson,06037,1315774553.5999997,3500000.0,7671.492437333334,5.830400364822298e-06,Joint Water Pollution Control Plant,90745.0,2022-04-06,Los Angeles
Carson,06037,1259019846.1560233,3500000.0,0.0,0.0,Joint Water Pollution Control Plant,90745.0,2022-04-10,Los Angeles
Carson,06037,2278779191.6436253,3500000.0,11445.192695545316,5.022510622141582e-06,Joint Water Pollution Control Plant,90745.0,2022-04-11,Los Angeles
Carson,06037,1755833485.6237848,3500000.0,18271.475972255565,1.0406155322732305e-05,Joint Water Pollution Control Plant,90745.0,2022-04-13,Los Angeles
Carson,06037,851934699.2924528,3500000.0,9977.389431599548,1.1711448588590124e-05,Joint Water Pollution Control Plant,90745.0,2022-04-17,Los Angeles
Carson,06037,1405532625.7861636,3500000.0,25916.515406322647,1.843892836840172e-05,Joint Water Pollution Control Plant,90745.0,2022-04-18,Los Angeles
Carson,06037,918840667.6671398,3500000.0,37791.97592295274,4.113006449627816e-05,Joint Water Pollution Control Plant,90745.0,2022-04-20,Los Angeles
Carson,06037,1198820783.6595745,3500000.0,28092.650825531917,2.343357006188617e-05,Joint Water Pollution Control Plant,90745.0,2022-04-24,Los Angeles
Carson,06037,1198520172.134039,3500000.0,2836.4454416931217,2.366623030334697e-06,Joint Water Pollution Control Plant,90745.0,2022-04-25,Los Angeles
Carson,06037,1415537516.1111112,3500000.0,8365.3248,5.909645420759991e-06,Joint Water Pollution Control Plant,90745.0,2022-04-27,Los Angeles
Carson,06037,824771597.5757576,3500000.0,23299.15942699725,2.8249226204539803e-05,Joint Water Pollution Control Plant,90745.0,2022-05-01,Los Angeles
Carson,06037,1035141759.54993,3500000.0,28451.17646582278,2.748529484328126e-05,Joint Water Pollution Control Plant,90745.0,2022-05-02,Los Angeles
Carson,06037,1630058554.9206352,3500000.0,66170.13238095237,4.059371498110023e-05,Joint Water Pollution Control Plant,90745.0,2022-05-04,Los Angeles
Carson,06037,2083696228.5714288,3500000.0,35129.68840352733,1.685931371465411e-05,Joint Water Pollution Control Plant,90745.0,2022-05-08,Los Angeles
Carson,06037,1389725656.3636365,3500000.0,109487.80090909092,7.878375160431108e-05,Joint Water Pollution Control Plant,90745.0,2022-05-09,Los Angeles
Carson,06037,1224937539.898477,3500000.0,85487.94666666666,6.978963733428556e-05,Joint Water Pollution Control Plant,90745.0,2022-05-11,Los Angeles
Carson,06037,1711624502.617801,3500000.0,73808.29391972076,4.312177922601396e-05,Joint Water Pollution Control Plant,90745.0,2022-05-15,Los Angeles
Carson,06037,2157583512.6436787,3500000.0,116042.06038314175,5.378334590671574e-05,Joint Water Pollution Control Plant,90745.0,2022-05-16,Los Angeles
Carson,06037,1455373610.048309,3500000.0,0.0,0.0,Joint Water Pollution Control Plant,90745.0,2022-05-18,Los Angeles
Carson,06037,1143152562.8985507,3500000.0,77026.20133333333,6.738050880805227e-05,Joint Water Pollution Control Plant,90745.0,2022-05-22,Los Angeles
Carson,06037,1624177960.9756098,3500000.0,144472.6959349593,8.895127221660955e-05,Joint Water Pollution Control Plant,90745.0,2022-05-23,Los Angeles
Carson,06037,1472150198.518519,3500000.0,55265.03657326892,3.754035194838423e-05,Joint Water Pollution Control Plant,90745.0,2022-05-25,Los Angeles
Carson,06037,1032156168.5333332,3500000.0,76460.05631999999,7.407799192698496e-05,Joint Water Pollution Control Plant,90745.0,2022-05-30,Los Angeles
Carson,06037,1640873104.248705,3500000.0,93361.81007253884,5.689764176815232e-05,Joint Water Pollution Control Plant,90745.0,2022-06-01,Los Angeles
Carson,06037,1363306346.0707636,3500000.0,65417.72484171324,4.798461111125619e-05,Joint Water Pollution Control Plant,90745.0,2022-06-05,Los Angeles
Carson,06037,1554496837.5091577,3500000.0,127867.4785641026,8.22565060788355e-05,Joint Water Pollution Control Plant,90745.0,2022-06-06,Los Angeles
Carson,06037,2476289219.7849464,3500000.0,231332.55329032257,9.341903661415312e-05,Joint Water Pollution Control Plant,90745.0,2022-06-12,Los Angeles
Carson,06037,2745026938.123753,3500000.0,295778.0727824351,0.0001077505173718,Joint Water Pollution Control Plant,90745.0,2022-06-13,Los Angeles
Carson,06037,1681648698.0266669,3500000.0,285042.724608,0.0001695019446942,Joint Water Pollution Control Plant,90745.0,2022-06-15,Los Angeles
Carson,06037,1781890104.32,3500000.0,540965.1692373333,0.0003035906467664,Joint Water Pollution Control Plant,90745.0,2022-06-19,Los Angeles
Carson,06037,1017793120.0,3500000.0,181999.35441860463,0.0001788176308546,Joint Water Pollution Control Plant,90745.0,2022-06-20,Los Angeles
Carson,06037,1329454888.0,3500000.0,586564.3819555556,0.0004412066834685,Joint Water Pollution Control Plant,90745.0,2022-06-22,Los Angeles
Carson,06037,1994332682.666667,3500000.0,520615.54879999993,0.0002610474938934,Joint Water Pollution Control Plant,90745.0,2022-06-26,Los Angeles
Carson,06037,95869862.73224044,3500000.0,668494.636240437,0.0069729382851783,Joint Water Pollution Control Plant,90745.0,2022-06-27,Los Angeles
Carson,06037,1621271143.730887,3500000.0,446802.5417981651,0.0002755877963571,Joint Water Pollution Control Plant,90745.0,2022-06-29,Los Angeles
Carson,06037,1964516921.9047616,3500000.0,1180418.6502857143,0.0006008696779975,Joint Water Pollution Control Plant,90745.0,2022-07-03,Los Angeles
Carson,06037,2844734281.237113,3500000.0,897587.2026391752,0.0003155258501854,Joint Water Pollution Control Plant,90745.0,2022-07-04,Los Angeles
Carson,06037,2216472005.333333,3500000.0,877521.8709333333,0.0003959092958637,Joint Water Pollution Control Plant,90745.0,2022-07-06,Los Angeles
Carson,06037,1475337914.1284406,3500000.0,611351.0364770642,0.0004143803467819,Joint Water Pollution Control Plant,90745.0,2022-07-10,Los Angeles
Carson,06037,2621812285.2599387,3500000.0,703797.7866177369,0.0002684394266418,Joint Water Pollution Control Plant,90745.0,2022-07-11,Los Angeles
Carson,06037,1293840406.9467788,3500000.0,631025.8111820729,0.0004877153378376,Joint Water Pollution Control Plant,90745.0,2022-07-13,Los Angeles
Carson,06037,1752287687.9012349,3500000.0,737230.9680987655,0.0004207248462618,Joint Water Pollution Control Plant,90745.0,2022-07-17,Los Angeles
Carson,06037,2156433935.533981,3500000.0,853130.9454498382,0.0003956211833767,Joint Water Pollution Control Plant,90745.0,2022-07-18,Los Angeles
Carson,06037,1823279470.387597,3500000.0,763707.0648062014,0.0004188645115627,Joint Water Pollution Control Plant,90745.0,2022-07-21,Los Angeles
Carson,06037,3470642942.015504,3500000.0,1447085.8319379846,0.0004169503622569,Joint Water Pollution Control Plant,90745.0,2022-07-24,Los Angeles
Carson,06037,1197474024.3603606,3500000.0,226306.3063063063,0.0001889864011264,Joint Water Pollution Control Plant,90745.0,2022-07-25,Los Angeles
Carson,06037,594414051.4104309,3500000.0,212546.6448253968,0.0003575733856241,Joint Water Pollution Control Plant,90745.0,2022-07-27,Los Angeles
Carson,06037,2526602681.111112,3500000.0,686367.6706666666,0.0002716563533308,Joint Water Pollution Control Plant,90745.0,2022-07-31,Los Angeles
