"","date","SC2_N_norm_PMMoV","SC2_N_gc_g_dry_weight","N","county","Cases_N","mean","sd","0.025quant","0.5quant","0.975quant","mode"
"833",2023-03-05,NA,NA,NA,"Yolo",161.552474815081,0.000173758680780834,1.44512531390228,8.41599365662528e-05,0.000173885630911786,0.000357276129286851,0.000174141367627481
"834",2023-03-06,0.0001100858598816,72041.8417708738,72041.8417708738,"Yolo",162.523706349851,0.00017480329436789,1.42394192520868,8.72075142104787e-05,0.000174908603884167,0.000349202077782774,0.000175122404387534
"835",2023-03-07,NA,NA,NA,"Yolo",171.387661955746,0.000184336972105376,1.43216987060287,9.10095026137506e-05,0.000184383299902784,0.00037283829493711,0.000184478817110052
"836",2023-03-08,0.0001802811920093,94960.1445904762,94960.1445904762,"Yolo",180.777419249506,0.000194436178831137,1.41800807964175,9.80094385941572e-05,0.000194408349637873,0.000386039275200976,0.000194346606594928
"837",2023-03-09,NA,NA,NA,"Yolo",192.226365902649,0.000206750158354246,1.4326082758702,0.000102283037639255,0.000206608628491468,0.00041951741592761,0.000206319818355209
"838",2023-03-10,0.000288139245657,200334.474117647,200334.474117647,"Yolo",204.453845860147,0.000219901493789502,1.42504118546695,0.000110060703940302,0.00021966314242875,0.000442031068902418,0.000219180605003277
"839",2023-03-11,NA,NA,NA,"Yolo",211.738129279473,0.000227736146145181,1.4472716847111,0.000110747923688796,0.00022734144037528,0.000472865009228639,0.000226549793320961
"840",2023-03-12,NA,NA,NA,"Yolo",219.344562430652,0.000235917288472523,1.44862272470549,0.000114646567929478,0.000235413484548775,0.000491296641757423,0.000234403739092555
"841",2023-03-13,0.0006136155972473,591192.76968421,591192.76968421,"Yolo",227.290323599151,0.000244463396973915,1.42920946103637,0.000121992151295174,0.000243957960107818,0.000495568407918352,0.000242937704056753
"842",2023-03-14,NA,NA,NA,"Yolo",214.72458699712,0.000230948247685688,1.43619881386315,0.00011409698079391,0.000230500248923179,0.000472563947696193,0.000229599660931172
