SC2_N_norm_PMMoV,SC2_N_gc_g_dry_weight,N,county,date
2.3870623361720356e-05,83973.74640787623,83973.74640787623,Yolo,2020-11-23
3.459295891040901e-05,220746.23532094175,220746.23532094175,Yolo,2020-11-24
4.094473246505318e-05,56398.50775669101,56398.50775669101,Yolo,2020-11-25
3.572859772710353e-05,61809.23121896793,61809.23121896793,Yolo,2020-11-26
4.477641450828423e-05,77503.49180076628,77503.49180076628,Yolo,2020-11-27
5.902120035721381e-05,149900.75429166667,149900.75429166667,Yolo,2020-11-28
0.0003262140452286,486623.77588014986,486623.77588014986,Yolo,2020-11-29
2.3854344805448248e-05,74698.29913139695,74698.29913139695,Yolo,2020-11-30
9.555418223565982e-05,254234.90814537907,254234.90814537907,Yolo,2020-12-01
0.0002781539079842,30344.19069583333,30344.19069583333,Yolo,2020-12-02
1.7701966736574882e-05,37596.36000863,37596.36000863,Yolo,2020-12-03
2.534994741348181e-05,96790.26689122808,96790.26689122808,Yolo,2020-12-04
2.26571942747584e-05,51849.39820246913,51849.39820246913,Yolo,2020-12-05
5.650196230022114e-05,241569.96898461535,241569.96898461535,Yolo,2020-12-06
4.704407404341505e-05,113639.3044169697,113639.3044169697,Yolo,2020-12-07
3.349050687210735e-05,74967.21781405897,74967.21781405897,Yolo,2020-12-08
2.2248383183308127e-05,137939.93643438915,137939.93643438915,Yolo,2020-12-09
1.925917207510356e-05,37168.577152688165,37168.577152688165,Yolo,2020-12-10
9.848585317376563e-05,102591.55272533334,102591.55272533334,Yolo,2020-12-11
8.5234342749758e-05,430596.21368553466,430596.21368553466,Yolo,2020-12-12
9.4048164311221e-05,402856.7204744958,402856.7204744958,Yolo,2020-12-13
4.069918308652331e-05,185194.87496296305,185194.87496296305,Yolo,2020-12-14
0.0003035407220059,178050.32642951253,178050.32642951253,Yolo,2020-12-15
3.596467099261282e-05,173278.889984,173278.889984,Yolo,2020-12-16
2.737986072188114e-05,189370.93337483788,189370.93337483788,Yolo,2020-12-17
2.759181596087512e-05,96114.06869588314,96114.06869588314,Yolo,2020-12-18
0.0001934134708867,56507.03919572194,56507.03919572194,Yolo,2020-12-19
7.80372266757878e-05,18138.442847798746,18138.442847798746,Yolo,2020-12-20
0.000188840724168,55629.46353058677,55629.46353058677,Yolo,2020-12-21
0.0001602021686884,68246.01204938273,68246.01204938273,Yolo,2020-12-22
0.0001851039061426,74584.33652380953,74584.33652380953,Yolo,2020-12-23
0.000288982996345,133452.01516049384,133452.01516049384,Yolo,2020-12-24
0.0001410682311653,73466.68291472869,73466.68291472869,Yolo,2020-12-25
0.0001491348361281,71921.67587520526,71921.67587520526,Yolo,2020-12-26
0.0001990267500296,23775.095431258647,23775.095431258647,Yolo,2020-12-27
0.0003214585252923,106662.0265799458,106662.0265799458,Yolo,2020-12-28
0.0003809753921115,69592.14798950132,69592.14798950132,Yolo,2020-12-29
0.0003188942248172,85011.23315440117,85011.23315440117,Yolo,2020-12-30
0.0001547357067851,59219.77259056317,59219.77259056317,Yolo,2020-12-31
0.000389860351142,82621.9448373338,82621.9448373338,Yolo,2021-01-01
0.0002578981618066,58278.83105257374,58278.83105257374,Yolo,2021-01-02
0.0001590183286004,33085.389571541506,33085.389571541506,Yolo,2021-01-03
4.686026034601612e-05,156865.55035346362,156865.55035346362,Yolo,2021-01-04
0.0002431752473126,104644.6360409532,104644.6360409532,Yolo,2021-01-05
0.0125108709435397,4459145.1177255325,4459145.1177255325,Yolo,2021-01-06
0.0002801224974713,106112.39063496492,106112.39063496492,Yolo,2021-01-07
0.0002796629418363,105579.74227751164,105579.74227751164,Yolo,2021-01-08
