,Date,SC2_N_norm_PMMoV,SC2_N_gc_g_dry_weight,N,County,Cases_N,mean,sd,0.025quant,0.5quant,0.975quant,mode,Rt_LCI,Rt_UCI,Rt
0,2020-12-03,1.77019667365749e-05,37596.36000863,37596.36000863,Yolo,110.0,2.97550086607133e-05,1.45252794246012,1.42508640354748e-05,2.97942018805685e-05,6.167204976326e-05,2.98736874486572e-05,,,
1,2020-12-04,2.53499474134818e-05,96790.2668912281,96790.2668912281,Yolo,114.0,3.0905088487539e-05,1.39997902478925,1.59330480551359e-05,3.09319806731837e-05,5.96556981137198e-05,3.09867285647449e-05,,,
2,2020-12-05,2.26571942747584e-05,51849.3982024691,51849.3982024691,Yolo,121.0,3.27134950406271e-05,1.37008804943291,1.76035822119754e-05,3.27360544916771e-05,6.05590551761209e-05,3.27820105980685e-05,,,
3,2020-12-06,5.65019623002211e-05,241569.968984615,241569.968984615,Yolo,133.0,3.59041463265237e-05,1.35286357577621,1.98204705916049e-05,3.59190024038372e-05,6.48888885664741e-05,3.59496605216839e-05,,,
4,2020-12-07,4.7044074043415e-05,113639.30441697,113639.30441697,Yolo,139.0,3.76236244924019e-05,1.34405746002506,2.10338636999604e-05,3.76408738894689e-05,6.71256952242892e-05,3.76763383313142e-05,,,
5,2020-12-08,3.34905068721073e-05,74967.217814059,74967.217814059,Yolo,143.0,3.85265253365382e-05,1.33981128058383,2.16551859652572e-05,3.85547883217304e-05,6.82615323851324e-05,3.86121094853558e-05,1.4012937539456594,1.6037587732881051,1.500815020271792
6,2020-12-09,2.22483831833081e-05,137939.936434389,137939.936434389,Yolo,148.0,3.99857183477248e-05,1.33781821566649,2.25243410249587e-05,4.00251998267526e-05,7.05927412764482e-05,4.01048260104721e-05,1.342639861163534,1.5288857125504043,1.4336940892863361
7,2020-12-10,1.92591720751036e-05,37168.5771526882,37168.5771526882,Yolo,163.0,4.39940547367338e-05,1.33575237367566,2.48689786375659e-05,4.40297728048146e-05,7.7474208171622e-05,4.41019512818517e-05,1.30760748447927,1.4815089831975223,1.3929234008097777
8,2020-12-11,9.84858531737656e-05,102591.552725333,102591.552725333,Yolo,195.0,5.25785464754934e-05,1.33393320654554,2.98751545586979e-05,5.25742889632471e-05,9.25783778278014e-05,5.25653288743e-05,1.2984558098198131,1.4642638784763449,1.3797348184768943
9,2020-12-12,8.5234342749758e-05,430596.213685535,430596.213685535,Yolo,218.0,5.89802461321814e-05,1.33375182420423,3.35530115521955e-05,5.895542153772e-05,0.0001039232454568,5.89055947335498e-05,1.3154966236191559,1.4749129926570415,1.3938430089226028
10,2020-12-13,9.4048164311221e-05,402856.720474496,402856.720474496,Yolo,236.0,6.37616113423819e-05,1.33354773426426,3.62871281563071e-05,6.37326157847533e-05,0.0001123256104433,6.36743913962083e-05,1.3446816114318167,1.500353882906894,1.420983239098578
11,2020-12-14,4.06991830865233e-05,185194.874962963,185194.874962963,Yolo,246.0,6.62958488181744e-05,1.333145553867,3.77201031019991e-05,6.62854604223645e-05,0.0001166233441462,6.62639466941965e-05,1.3775167102902661,1.5262082583237166,1.4508250901724034
12,2020-12-15,0.0003035407220059,178050.326429513,178050.326429513,Yolo,268.0,7.24154816365556e-05,1.33322254689418,4.12198996985785e-05,7.23898738989437e-05,0.0001274744185825,7.23383265825585e-05,1.401625314525203,1.5456901847116606,1.4724833094000047
13,2020-12-16,3.59646709926128e-05,173278.889984,173278.889984,Yolo,254.0,6.84640006063731e-05,1.33392139369633,3.88033281720648e-05,6.85198559484688e-05,0.0001202464196041,6.86325883410621e-05,1.413546732042549,1.5514935940484107,1.4814498346617744
14,2020-12-17,2.73798607218811e-05,189370.933374838,189370.933374838,Yolo,256.0,6.90382608334557e-05,1.33587976124513,3.89472631271678e-05,6.91383848593744e-05,0.0001213897859528,6.9339690470104e-05,1.4136604657407639,1.5461692230833535,1.4790052529385027
15,2020-12-18,2.75918159608751e-05,96114.0686958831,96114.0686958831,Yolo,283.0,7.63607545407466e-05,1.33536438982768,4.31263216447063e-05,7.64615520946755e-05,0.0001342122495194,7.66640732400509e-05,1.4069625795620317,1.5310488731475305,1.467979118011031
16,2020-12-19,0.0001934134708867,56507.0391957219,56507.0391957219,Yolo,346.0,9.3525183721238e-05,1.3330860305464,5.31457261091095e-05,9.35551563664896e-05,0.0001642888779368,9.36170241396297e-05,1.39289561472691,1.510640351679098,1.4509718223825514
17,2020-12-20,7.80372266757878e-05,18138.4428477987,18138.4428477987,Yolo,394.0,0.000106435577266,1.33294706846691,6.05358902483728e-05,0.0001064435893267,0.0001870580509796,0.0001064617265777,1.373504424242061,1.484543765339121,1.4283047894632177
18,2020-12-21,0.000188840724168,55629.4635305868,55629.4635305868,Yolo,463.0,0.000124988430698,1.3332466171635,7.11651779724373e-05,0.0001249298862553,0.0002200966082416,0.0001248110408603,1.3457588172185448,1.4507136770055138,1.3974750761676284
19,2020-12-22,0.0001602021686884,68246.0120493827,68246.0120493827,Yolo,522.0,0.0001408469436488,1.33354355272674,8.0202135395602e-05,0.0001407543209884,0.0002482611740923,0.0001405671920515,1.3086494733260308,1.4072066137522998,1.357478527949831
20,2020-12-23,0.0001851039061426,74584.3365238095,74584.3365238095,Yolo,581.0,0.0001567562712806,1.33381459752756,8.92591676752063e-05,0.0001566323039728,0.000276515461449,0.0001563823096691,1.2660658786951346,1.3593761219747929,1.3120999825501425
21,2020-12-24,0.000288982996345,133452.015160494,133452.015160494,Yolo,636.0,0.0001716747519514,1.3339426989535,9.77506871059179e-05,0.0001715295505933,0.0003029340967738,0.0001712367839591,1.2213303236018396,1.3095586768843912,1.2650218722888817
22,2020-12-25,0.0001410682311653,73466.6829147287,73466.6829147287,Yolo,661.0,0.0001785160163481,1.33326802663616,0.0001016429636627,0.0001784301002261,0.0003143727672967,0.0001782538913286,1.1804865016660528,1.2640578112552272,1.2217763259639538
23,2020-12-26,0.0001491348361281,71921.6758752053,71921.6758752053,Yolo,704.0,0.0001901900851812,1.33317045349856,0.0001082806111427,0.0001901140474154,0.0003348065874413,0.0001899567548557,1.1456056035319282,1.2251763799568038,1.1849471053784624
24,2020-12-27,0.0001990267500296,23775.0954312586,23775.0954312586,Yolo,770.0,0.0002077604264094,1.33344892168394,0.0001183017315906,0.0002076360253988,0.0003660898634735,0.0002073824260248,1.1212171157619018,1.1983471223430033,1.159453875228646
25,2020-12-28,0.0003214585252923,106662.026579946,106662.026579946,Yolo,845.0,0.0002280807598857,1.33409492940483,0.00012986045315,0.0002278745148505,0.000402620669027,0.0002274584228634,1.1034372665353271,1.1784058502537844,1.140486740852185
26,2020-12-29,0.0003809753921115,69592.1479895013,69592.1479895013,Yolo,897.0,0.0002420658959452,1.33427379460538,0.0001378129223981,0.000241830625025,0.0004275013592838,0.0002413567149596,1.087680988035702,1.1601871215120068,1.1235615167484991
27,2020-12-30,0.0003188942248172,85011.2331544012,85011.2331544012,Yolo,910.0,0.0002456322896393,1.33363523856502,0.0001398681163783,0.000245460223303,0.0004330652223747,0.0002451113733487,1.067111849274926,1.1380042049619323,1.1021780615573424
28,2020-12-31,0.0001547357067851,59219.7725905632,59219.7725905632,Yolo,900.0,0.0002429469089238,1.33303655138968,0.0001382853008762,0.0002428862326666,0.0004274157345116,0.0002427578518735,1.0399111264547587,1.1087842078336048,1.0739579879595453
29,2021-01-01,0.000389860351142,82621.9448373338,82621.9448373338,Yolo,932.0,0.0002515959098316,1.33304771181436,0.0001432134601172,0.0002515284316129,0.0004426626467732,0.0002513867155902,1.0077648434631281,1.0746538791916231,1.0407749625905178
30,2021-01-02,0.0002578981618066,58278.8310525737,58278.8310525737,Yolo,924.0,0.0002494045108828,1.33297230095212,0.0001418291375465,0.0002494325144561,0.0004382911884448,0.0002494903608509,0.9749159520534709,1.0399472878340705,1.0070845885652122
31,2021-01-03,0.0001590183286004,33085.3895715415,33085.3895715415,Yolo,913.0,0.0002464562265397,1.33337995123293,0.0001398984830329,0.0002465897009391,0.0004328520062038,0.0002468559971567,0.9429712727024954,1.0066455173229854,0.974391325491132
32,2021-01-04,4.68602603460161e-05,156865.550353464,156865.550353464,Yolo,943.0,0.0002545472294139,1.33347769880806,0.0001444484274294,0.000254698452288,0.0004470616978178,0.0002549989869624,0.9138783414925085,0.9768802641931478,0.9450293142867949
33,2021-01-05,0.0002431752473126,104644.636040953,104644.636040953,Yolo,1155.0,0.0003118503181954,1.33424245495488,0.0001775430347536,0.0003115523774733,0.0005506898548859,0.0003109508354377,0.8867586228878929,0.9487157547931414,0.917385654400682
34,2021-01-06,0.0125108709435397,4459145.11772553,4459145.11772553,Yolo,1452.0,0.0003921327472452,1.34433618823603,0.0002211684243777,0.0003909994866678,0.000706525761886,0.0003887060142345,0.8614572187481206,0.9229250050756992,0.8918515623512747
35,2021-01-07,0.0002801224974713,106112.390634965,106112.390634965,Yolo,1290.0,0.000348405091571,1.33681300792526,0.0001979921389705,0.0003478309727129,0.0006187541623115,0.0003466761981399,0.8319768866986987,0.8929704833590952,0.8621000657104132
36,2021-01-08,0.0002796629418363,105579.742277512,105579.742277512,Yolo,1174.0,0.0003168834870862,1.33398939940723,0.0001804247174604,0.0003166127191363,0.0005592107561236,0.0003160641165621,0.8000947934326592,0.8608363606064642,0.8300777383762221
37,2021-01-09,0.0002895566710233,99443.7899643766,99443.7899643766,Yolo,1082.0,0.0002921276444345,1.33306698699813,0.0001662824399216,0.0002920478061172,0.0005139936496528,0.0002918782738151,0.7643055056554056,0.82447144072451,0.7940018465989478
38,2021-01-10,0.0001336796463681,24569.1275999477,24569.1275999477,Yolo,999.0,0.0002696821885426,1.33308605036194,0.0001532634610582,0.000269756378393,0.000473789534577,0.0002699043241874,0.7273525397179028,0.7875099887511002,0.7570339995291633
39,2021-01-11,0.0001333583733179,59087.4995060254,59087.4995060254,Yolo,990.0,0.0002672741822132,1.33301007542752,0.0001519606626081,0.0002673174992614,0.0004696543469382,0.0002674044195587,0.6940908305313382,0.7546661372802583,0.7239904378679187
40,2021-01-12,0.0002731110152237,124817.249151182,124817.249151182,Yolo,1053.0,0.000284202463586,1.33348056269087,0.0001618280546812,0.0002840281688773,0.0005008293219186,0.0002836727714817,0.6678079619979593,0.7290272126321931,0.6977871226021696
41,2021-01-13,0.0012846218039323,294758.181149296,294758.181149296,Yolo,1125.0,0.0003036337385604,1.33609607156069,0.0001726561359357,0.0003031794409839,0.0005384560352297,0.0003022676072912,0.650340688565082,0.7135158086527511,0.6815325169299006
42,2021-01-14,0.000313051648822,192811.234608321,192811.234608321,Yolo,1040.0,0.0002808027178178,1.33473163065144,0.0001598277986856,0.0002804867723602,0.0004964572271521,0.0002798512707849,0.6405833574250477,0.7058347972209789,0.6726837558989697
43,2021-01-15,0.0001766299452715,86489.2430737914,86489.2430737914,Yolo,952.0,0.0002571155455458,1.33378534899712,0.0001464041468669,0.0002569169646774,0.0004535014695671,0.0002565151043891,0.6377719360670402,0.7060297036502594,0.6712665760356264
44,2021-01-16,0.0003963015527911,78227.3307679193,78227.3307679193,Yolo,906.0,0.0002447087190501,1.33401074672235,0.000139332086932,0.000244495310984,0.0004318840428381,0.0002440654961358,0.6381846140687439,0.709929255294104,0.6734008074794886
45,2021-01-17,0.0002324751420556,51999.6299183842,51999.6299183842,Yolo,822.0,0.0002220241665432,1.33343384989486,0.0001264240287038,0.0002218926092839,0.0003912122778704,0.0002216261702394,0.6415467004434199,0.7174706935623596,0.6788088294374901
46,2021-01-18,0.0002813612604846,30553.4972519171,30553.4972519171,Yolo,743.0,0.0002006372037261,1.33309534486183,0.0001142195469022,0.0002005704721323,0.000353096443271,0.0002004337498716,0.6495266994479654,0.7297490000834391,0.6888661239106437
47,2021-01-19,0.0001684130822706,41372.7754449787,41372.7754449787,Yolo,649.0,0.0001753077709201,1.33300254366134,9.96584685677414e-05,0.0001753465219803,0.0003079985653921,0.0001754274510449,0.6633863199202235,0.7485499907987232,0.7050712479084349
48,2021-01-20,0.0001081944522357,46164.1226882591,46164.1226882591,Yolo,570.0,0.0001538116537938,1.33372756974663,8.72145338540356e-05,0.0001539281035438,0.0002701146384905,0.000154163218632,0.686413429707883,0.7770888481308631,0.7307531502594069
49,2021-01-21,8.23972568029286e-05,38655.846912,38655.846912,Yolo,518.0,0.0001397920462699,1.33438345909757,7.91303862827557e-05,0.0001399350457647,0.0002455483655779,0.0001402231717301,0.7223137491541758,0.8181080785772878,0.76944568529783
50,2021-01-22,8.99762329828452e-05,36468.3010756554,36468.3010756554,Yolo,496.0,0.0001339524492195,1.33398938717802,7.59011253777214e-05,0.0001340692282943,0.0002352535490188,0.0001343053781955,0.7713147430370273,0.8751545525741794,0.8220772609688062
51,2021-01-23,0.0001526787474526,67255.9750969455,67255.9750969455,Yolo,495.0,0.0001335679421662,1.3331855423975,7.58683086414189e-05,0.0001336241747312,0.0002345973766299,0.0001337405035007,0.8384439220671265,0.9507280466657022,0.8936568679764242
52,2021-01-24,0.0003101028152407,85738.4649785933,85738.4649785933,Yolo,487.0,0.0001313875604702,1.33298124069236,7.47104691539873e-05,0.0001314062785248,0.0002308800098217,0.0001314483731581,0.9198626899230173,1.0395177667602393,0.978676161850546
53,2021-01-25,8.96736664845617e-05,29379.091765722,29379.091765722,Yolo,439.0,0.0001185229716297,1.33364660988724,6.72224944105272e-05,0.0001186074490127,0.0002081428914758,0.0001187795477886,1.0050672562418532,1.132525561334857,1.0673429782319324
54,2021-01-26,0.0001123672213611,28327.3595178667,28327.3595178667,Yolo,407.0,0.0001099379552038,1.3345709097424,6.22050820652853e-05,0.0001100567745275,0.0001931295566864,0.0001102970412055,1.082794175444866,1.2157450676296189,1.147884253470621
